Initialising login role...
Connecting to remote database...

  
   Local            | Remote | Time (UTC)            
  ------------------|--------|-----------------------
   `20260520090000` | ` `    | `2026-05-20 09:00:00` 
   `20260520090001` | ` `    | `2026-05-20 09:00:01` 
   `20260520090002` | ` `    | `2026-05-20 09:00:02` 
   `20260520090003` | ` `    | `2026-05-20 09:00:03` 
   `20260520090004` | ` `    | `2026-05-20 09:00:04` 
   `20260520090005` | ` `    | `2026-05-20 09:00:05` 
   `20260520090006` | ` `    | `2026-05-20 09:00:06` 
   `20260520090007` | ` `    | `2026-05-20 09:00:07` 
   `20260520090008` | ` `    | `2026-05-20 09:00:08` 
   `20260520090009` | ` `    | `2026-05-20 09:00:09` 
   `20260520090010` | ` `    | `2026-05-20 09:00:10` 
   `20260611000000` | ` `    | `2026-06-11 00:00:00` 
   `20260611000001` | ` `    | `2026-06-11 00:00:01` 
   `20260611000002` | ` `    | `2026-06-11 00:00:02` 
   `20260620000001` | ` `    | `2026-06-20 00:00:01` 
   `20260703000000` | ` `    | `2026-07-03 00:00:00` 
   `20260703000001` | ` `    | `2026-07-03 00:00:01` 
   `20260703100000` | ` `    | `2026-07-03 10:00:00` 
   `20260703100001` | ` `    | `2026-07-03 10:00:01` 
   `20260705000000` | ` `    | `2026-07-05 00:00:00` 
   `20260705100000` | ` `    | `2026-07-05 10:00:00` 
   `20260706000000` | ` `    | `2026-07-06 00:00:00` 
   `20260707000000` | ` `    | `2026-07-07 00:00:00` 
   `20260710000000` | ` `    | `2026-07-10 00:00:00` 
   `20260710100000` | ` `    | `2026-07-10 10:00:00` 
   `20260710100002` | ` `    | `2026-07-10 10:00:02` 
   `20260714000000` | ` `    | `2026-07-14 00:00:00` 
   `20260714000001` | ` `    | `2026-07-14 00:00:01` 
   `20260716000000` | ` `    | `2026-07-16 00:00:00` 
   `20260716000001` | ` `    | `2026-07-16 00:00:01` 
   `20260717000000` | ` `    | `2026-07-17 00:00:00` 
   `20260730000000` | ` `    | `2026-07-30 00:00:00` 
   `20260809000000` | ` `    | `2026-08-09 00:00:00` 
   `20260809010000` | ` `    | `2026-08-09 01:00:00` 
   `20260809020000` | ` `    | `2026-08-09 02:00:00` 
   `20260809030000` | ` `    | `2026-08-09 03:00:00` 
   `20260809040000` | ` `    | `2026-08-09 04:00:00` 
   `20260809050000` | ` `    | `2026-08-09 05:00:00` 
   `20260809060000` | ` `    | `2026-08-09 06:00:00` 
   `20260809070000` | ` `    | `2026-08-09 07:00:00` 
   `20260810000000` | ` `    | `2026-08-10 00:00:00` 
   `20260810010000` | ` `    | `2026-08-10 01:00:00` 
   `20260810010000` | ` `    | `2026-08-10 01:00:00` 
   `20260810030000` | ` `    | `2026-08-10 03:00:00` 
   `20260810040000` | ` `    | `2026-08-10 04:00:00` 
   `20260810050000` | ` `    | `2026-08-10 05:00:00` 
   `20260810060000` | ` `    | `2026-08-10 06:00:00` 
   `20260810070000` | ` `    | `2026-08-10 07:00:00` 
   `20260810080000` | ` `    | `2026-08-10 08:00:00` 
   `20260811000000` | ` `    | `2026-08-11 00:00:00` 

