"FullName","Lines"
"C:\Users\DELL\Desktop\bigdrops-app\src\App.jsx","521"
"C:\Users\DELL\Desktop\bigdrops-app\src\main.jsx","29"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\ItemImageUpload.jsx","95"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\Layout.jsx","768"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\MobileItemCard.jsx","591"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\useInvoiceColumns.jsx","65"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\csr\CSRPreviewTemplates.jsx","1551"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\document\AttachExistingDocumentSheet.jsx","248"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\document\DocumentActionSheets.jsx","207"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\document\DocumentDesignControls.jsx","289"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\document\ProjectLinkDialog.jsx","295"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\invoice\ActionsSheet.jsx","92"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\invoice\InvoiceActionsSheet.jsx","17"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\invoice\MobileGroupCard.jsx","118"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\invoice\MobileItemCard.jsx","303"
"C:\Users\DELL\Desktop\bigdrops-app\src\components\invoice\RevertInvoiceDialog.jsx","125"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\CSR.jsx","591"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\Dashboard.jsx","753"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\EditCSR.jsx","133"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\EditInvoice.jsx","545"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\Invoices.jsx","627"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\NewCSR.jsx","268"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\NewInvoice.jsx","531"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\NewProject.jsx","193"
"C:\Users\DELL\Desktop\bigdrops-app\src\pages\ProjectDetail.jsx","526"
